,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,2.56,0.1,0.52,8.08,5
1,2.56,0.1,-2.76,-25.06,10
2,2.56,0.1,-2.94,-25.12,15
3,2.56,0.1,-3.0,-25.13,20
4,2.56,0.1,-3.03,-25.13,25
5,2.56,0.1,-3.05,-25.13,30
6,2.56,0.1,-3.07,-25.13,35
7,2.56,0.1,-3.08,-25.13,40
8,2.56,0.1,-3.08,-25.13,45
9,2.56,0.1,-3.09,-25.13,50
10,2.56,0.1,-3.1,-25.13,55
11,2.56,0.1,-3.1,-25.13,60
12,2.56,0.1,-3.1,-25.13,65
13,2.56,0.1,-3.11,-25.13,70
14,2.56,0.1,-3.11,-25.13,75
15,2.56,0.1,-3.11,-25.13,80
16,2.56,0.1,-3.11,-25.13,85
17,2.56,0.1,-3.11,-25.13,90
18,2.56,0.1,-3.12,-25.13,95
19,2.56,0.1,-3.12,-25.13,100
20,2.56,0.1,-3.12,-25.13,105
21,2.56,0.1,-3.12,-25.13,110
22,2.56,0.1,-3.12,-25.13,115
23,2.56,0.1,-3.12,-25.13,120
24,2.56,0.1,-3.12,-25.13,125
25,2.56,0.1,-3.12,-25.13,130
26,2.56,0.1,-3.12,-25.13,135
27,2.56,0.1,-3.12,-25.13,140
28,2.56,0.1,-3.12,-25.13,145
29,2.56,0.1,-3.12,-25.13,150
30,2.56,0.1,-3.13,-25.13,155
31,2.56,0.1,-3.13,-25.13,160
32,2.56,0.1,-3.13,-25.13,165
33,2.56,0.1,-3.13,-25.13,170
34,2.56,0.1,-3.13,-25.13,175
35,2.56,0.1,-3.13,-25.13,180
36,2.56,0.1,-3.13,-25.13,185
37,2.56,0.1,-3.13,-25.13,190
38,2.56,0.1,-3.13,-25.13,195
