,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-1.89061776  1.3290541 ],0.3,[-1.65296485  1.19108956],-0.09,5
1,[-1.89061776  1.3290541 ],0.3,[-1.08776511  0.88073747],-0.41,10
2,[-1.89061776  1.3290541 ],0.3,[-0.71253169  0.70902832],-0.55,15
3,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,20
4,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,25
5,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,30
6,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,35
7,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,40
8,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,45
9,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,50
10,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,55
11,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,60
12,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,65
13,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,70
14,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,75
15,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,80
16,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,85
17,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,90
18,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,95
19,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,100
20,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,105
21,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,110
22,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,115
23,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,120
24,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,125
25,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,130
26,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,135
27,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,140
28,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,145
29,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,150
30,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,155
31,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,160
32,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,165
33,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,170
34,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,175
35,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,180
36,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,185
37,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,190
38,[-1.89061776  1.3290541 ],0.3,[-0.70713092  0.70711527],-0.55,195
