,starting point,step_length,location of the found local minimum,value of the found local minimum,number of steps
0,[-1.31852294  0.03295447],0.3,[-0.80833962  0.68284162],-0.54,5
1,[-1.31852294  0.03295447],0.3,[-0.70766987  0.70700042],-0.55,10
2,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,15
3,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,20
4,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,25
5,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,30
6,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,35
7,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,40
8,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,45
9,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,50
10,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,55
11,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,60
12,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,65
13,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,70
14,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,75
15,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,80
16,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,85
17,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,90
18,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,95
19,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,100
20,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,105
21,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,110
22,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,115
23,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,120
24,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,125
25,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,130
26,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,135
27,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,140
28,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,145
29,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,150
30,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,155
31,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,160
32,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,165
33,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,170
34,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,175
35,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,180
36,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,185
37,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,190
38,[-1.31852294  0.03295447],0.3,[-0.70712851  0.70710268],-0.55,195
